a_a_project,project_start_year,project_end_year,project_duration_year,mis_code_nsrf_2007_20,rtdi_sector,rtdi_subsector,scientific_field,type_of_beneficiary,type_of_research_organization,role_of_beneficiary,region,final_projects_budget_at_the_end_of_the_project,final_public_expenditure_at_the_end,pct_absorption_rate_per_budget,pct_absorption_rate_per_public_expenditure,indicator_1_new_jobs_ipa,indicator_3_new_jobs_womens_ipa,indicator_4_number_of_rdti_projects,indicator_5_num_coop_company_research_instit,indicator_6_num_of_research_job_ipa,indicator_9_num_of_jobs_ipa_smes,indicator_10_induced_investments,indicator_501_jobs_dur_the_operat_ipa,indicator_3103_num_company_res_lab_busin_collab,indicator_3104_num_new_business_rtd,indicator_3106_num_company_benef,indicator_3107_num_smes_com_benef,indicator_3110_num_of_smes_benef,indicator_3111_num_spin_off_spin_outs,indicator_3112_num_of_joint_project_other_countries,indicator_3115_num_of_patent,indicator_3121_num_of_lab_supp,indicator_3204_num_of_business_will_be_supported,indicator_6913_num_res_part,indicator_8004_stud_research_evaluat,indicator_8009_num_events,gdp_region_start_year,gdp_region_end_year,gdp_region_per_person_start_year,gdp_region_per_person_end_year,gross_value_added_region_start_year,gross_value_added_region_end_year,employment_region_start_year,employment_region_end_year,employment_r_d_number_region_start_year,employment_r_d_number_region_end_year,employment_r_d_ipa_region_start_year,employment_r_d_ipa_region_end_year,researchers_number_region_start_year,researchers_numbers_region_end_year,researchers_ipa_region_start_year,researchers_ipa_region_end_year,number_of_business_region_start_year,number_of_business_region_end_year,educational_institution_per_region,research_center_per_region,r_d_exp_region_start_year,r_d_exp_region_end_year,r_d_per_inhabitant_region_2015,r_d_exp_int_region_start_year,r_d_exp_int_region_end_year,intensity_r_d_exp_start_year,intensity_r_d_exp_end_year,percent_innov_busi_region_2010_2012,percent_company_innov_prod_region_2010_2012,exp_innov_act_region_2012,rate_busin_region_newproducts,rate_turnover_innovative_products_region_2012,rate_busin_region_collaborations_with_any_organiz,rate_busin_region_innovating_or_marketing_2012_2014,numb_sc_pub_per_million_rd_region_2011,numb_sc_pub_per_ipa_region_2011,impact_index_of_publications_by_region_2010_2014,numb_sc_pub_per_million_rd_region_2010_2014,numb_sc_pub_per_ipa_region_2015,numb_sc_pub_per_region_2010_2014,numb_report_sc_pub_region_2010_2014,numb_inter_collab_per_region_2010_2014,numb_sc_pub_per_region_2012_2016,numb_sc_pub_per_region_2012_2016_1,numb_sc_pub_per_region_2012_2016_2,numb_sc_pub_per_region_2014_2016,nuts_id,region_el,lat,lon
239,2010,2016,6,328017,Nanotechnology - Nanoscience and Microelectronics,Advanced materials,Engineering Sciences,Research institution,Research Center,Coordinator,Central Makedonia,252604.15,252604.15,0.9021576785714286,,1.19,0.0,0.63,0.63,3.97,0.0,0.0,3.97,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,30136,23801,17881,14639,26587,20760,769608.6,719161.3,11952,14915,6347,7624,8553,10699,4560,5958,191292,240711,5,4,193.33,201.44,106.4,0.0064152508627555085,0.008463509936557288,0.0015758561189275287,0.0015957312717953026,0.413,0.189,0.0029,0.107,0.109,0.107,0.388,26.08,1.8,3.97,59.9,2.0,12075,67918,5101,12613,13099,100700,116395,EL52,Κεντρική Μακεδονία,40.64,22.94
240,2010,2016,6,328019,Nanotechnology - Nanoscience and Microelectronics,Advanced materials,Engineering Sciences,Business,0,Partner,Central Makedonia,67108.14,33554.07,0.5326042857142858,,0.47,0.0,0.17,0.17,1.56,0.0,0.07,1.56,1.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,30136,23801,17881,14639,26587,20760,769608.6,719161.3,11952,14915,6347,7624,8553,10699,4560,5958,191292,240711,5,4,193.33,201.44,106.4,0.0064152508627555085,0.008463509936557288,0.0015758561189275287,0.0015957312717953026,0.413,0.189,0.0029,0.107,0.109,0.107,0.388,26.08,1.8,3.97,59.9,2.0,12075,67918,5101,12613,13099,100700,116395,EL52,Κεντρική Μακεδονία,40.64,22.94
241,2010,2016,6,328020,Nanotechnology - Nanoscience and Microelectronics,Advanced materials,Engineering Sciences,Business,0,Partner,Central Makedonia,32592.0,15867.79,0.9312,,0.13,0.0,0.08,0.08,0.42,0.0,0.03,0.42,1.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,30136,23801,17881,14639,26587,20760,769608.6,719161.3,11952,14915,6347,7624,8553,10699,4560,5958,191292,240711,5,4,193.33,201.44,106.4,0.0064152508627555085,0.008463509936557288,0.0015758561189275287,0.0015957312717953026,0.413,0.189,0.0029,0.107,0.109,0.107,0.388,26.08,1.8,3.97,59.9,2.0,12075,67918,5101,12613,13099,100700,116395,EL52,Κεντρική Μακεδονία,40.64,22.94
242,2010,2016,6,328021,Nanotechnology - Nanoscience and Microelectronics,Advanced materials,Engineering Sciences,Business,0,Partner,Central Makedonia,35047.729999999996,24533.41,0.6258523214285714,,0.26,0.0,0.09,0.09,0.88,0.0,0.04,0.88,1.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,30136,23801,17881,14639,26587,20760,769608.6,719161.3,11952,14915,6347,7624,8553,10699,4560,5958,191292,240711,5,4,193.33,201.44,106.4,0.0064152508627555085,0.008463509936557288,0.0015758561189275287,0.0015957312717953026,0.413,0.189,0.0029,0.107,0.109,0.107,0.388,26.08,1.8,3.97,59.9,2.0,12075,67918,5101,12613,13099,100700,116395,EL52,Κεντρική Μακεδονία,40.64,22.94
243,2010,2016,6,328022,Nanotechnology - Nanoscience and Microelectronics,Advanced materials,Engineering Sciences,Business,0,Partner,Central Makedonia,14438.289999999999,10106.8,0.6878651738923296,,0.2,0.0,0.04,0.04,0.67,0.0,0.01,0.67,1.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,30136,23801,17881,14639,26587,20760,769608.6,719161.3,11952,14915,6347,7624,8553,10699,4560,5958,191292,240711,5,4,193.33,201.44,106.4,0.0064152508627555085,0.008463509936557288,0.0015758561189275287,0.0015957312717953026,0.413,0.189,0.0029,0.107,0.109,0.107,0.388,26.08,1.8,3.97,59.9,2.0,12075,67918,5101,12613,13099,100700,116395,EL52,Κεντρική Μακεδονία,40.64,22.94
244,2010,2016,6,328040,Nanotechnology - Nanoscience and Microelectronics,Microelectronics,Engineering Sciences,Research institution,Universities/Technological Education Institutes,Coordinator,Central Makedonia,125126.2,125126.2,0.9245778552851689,,1.23,0.0,0.21,0.21,3.68,0.0,0.0,3.68,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,30136,23801,17881,14639,26587,20760,769608.6,719161.3,11952,14915,6347,7624,8553,10699,4560,5958,191292,240711,5,4,193.33,201.44,106.4,0.0064152508627555085,0.008463509936557288,0.0015758561189275287,0.0015957312717953026,0.413,0.189,0.0029,0.107,0.109,0.107,0.388,26.08,1.8,3.97,59.9,2.0,12075,67918,5101,12613,13099,100700,116395,EL52,Κεντρική Μακεδονία,40.64,22.94
245,2010,2016,6,328041,Nanotechnology - Nanoscience and Microelectronics,Microelectronics,Engineering Sciences,Research institution,Universities/Technological Education Institutes,Partner,Crete,95274.08,95274.08,0.9721844897959184,,1.0,0.0,0.16,0.16,3.0,0.0,0.0,3.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,10863,8606,17377,13611,9584,7506,278695.3,266486.1,6180,6793,3671,4048,4168,3981,2489,2498,68528,129132,3,4,106.1,134.72,213.3,0.009767099327994107,0.015654194747850337,0.0005983614102918163,0.0010736695328840344,0.652,0.506,0.0035,0.107,0.094,0.075,0.482,55.3,2.7,7.5,51.9,2.8,6995,52469,4062,7210,7368,70590,78674,EL43,Κρήτη,35.24,24.81
246,2010,2016,6,328042,Nanotechnology - Nanoscience and Microelectronics,Microelectronics,Engineering Sciences,Business,0,Partner,Attica,363463.23,248749.89,0.7932075317862337,,2.7,0.0,0.63,0.63,8.11,0.0,0.36,8.11,0.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,108739,83007,27199,21975,95933,72400,1823822.3,1713069.0,28413,47427,16137,24426,18664,29384,11176,17031,414397,342990,12,26,774.39,966.92,252.9,0.007121547926686837,0.011648656137434191,0.0033611675663745297,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
247,2010,2016,6,328057,Health,"Innovative diagnostic, imaging and therapeutic approaches, tools, provisions and methodologies",Medical Sciences,Research institution,Universities/Technological Education Institutes,Coordinator,Attica,191826.11,191826.11,0.7829637142857142,,1.6,0.0,0.38,0.38,6.39,0.0,0.0,6.39,0.0,0,0,0,0,0,0.0,1.0,0,0,0,0,0,108739,83007,27199,21975,95933,72400,1823822.3,1713069.0,28413,47427,16137,24426,18664,29384,11176,17031,414397,342990,12,26,774.39,966.92,252.9,0.007121547926686837,0.011648656137434191,0.0033611675663745297,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
248,2010,2016,6,328058,Health,"Innovative diagnostic, imaging and therapeutic approaches, tools, provisions and methodologies",Medical Sciences,Research institution,Research Center,Partner,Attica,121385.72,121385.72,0.8732785611510792,,0.73,0.0,0.24,0.24,2.92,0.0,0.0,2.92,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,108739,83007,27199,21975,95933,72400,1823822.3,1713069.0,28413,47427,16137,24426,18664,29384,11176,17031,414397,342990,12,26,774.39,966.92,252.9,0.007121547926686837,0.011648656137434191,0.0033611675663745297,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
249,2010,2016,6,328059,Health,"Innovative diagnostic, imaging and therapeutic approaches, tools, provisions and methodologies",Medical Sciences,Research institution,Universities/Technological Education Institutes,Partner,Attica,28306.51,28306.51,0.5897189583333333,,0.83,0.0,0.06,0.06,3.31,0.0,0.0,3.31,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,108739,83007,27199,21975,95933,72400,1823822.3,1713069.0,28413,47427,16137,24426,18664,29384,11176,17031,414397,342990,12,26,774.39,966.92,252.9,0.007121547926686837,0.011648656137434191,0.0033611675663745297,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
250,2010,2016,6,328060,Health,"Innovative diagnostic, imaging and therapeutic approaches, tools, provisions and methodologies",Medical Sciences,Business,0,Partner,Attica,162109.28999999998,81054.65,0.5628794791666666,,1.63,0.0,0.32,0.32,6.52,0.0,0.0,0.16,1.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,108739,83007,27199,21975,95933,72400,1823822.3,1713069.0,28413,47427,16137,24426,18664,29384,11176,17031,414397,342990,12,26,774.39,966.92,252.9,0.007121547926686837,0.011648656137434191,0.0033611675663745297,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
251,2010,2016,6,335992,High-Value Added Products and Production Technologies focusing on Traditional Industries,Environmentally friendly products and processes - industrial biotechnology,Natural sciences,Research institution,Universities/Technological Education Institutes,Coordinator,Attica,326053.26,326053.26,0.7245628000000001,,0.92,0.0,0.27,0.27,4.46,0.0,0.0,4.46,0.0,0,1,0,1,0,0.0,0.0,0,0,0,0,0,108739,83007,27199,21975,95933,72400,1823822.3,1713069.0,28413,47427,16137,24426,18664,29384,11176,17031,414397,342990,12,26,774.39,966.92,252.9,0.007121547926686837,0.011648656137434191,0.0033611675663745297,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
252,2010,2016,6,335993,High-Value Added Products and Production Technologies focusing on Traditional Industries,Environmentally friendly products and processes - industrial biotechnology,Natural sciences,Research institution,Universities/Technological Education Institutes,Partner,Western Greece,228438.3,228438.3,0.7877182758620689,,0.5,0.0,0.19,0.19,2.41,0.0,0.0,2.41,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,10524,7832,15217,11758,9284,6831,277212.3,252105.2,3980,7013,2133,2994,3290,4410,331,510,60765,96579,3,5,80.94,106.93,158.8,0.007690992018244014,0.013652962206332993,0.0011469023185100723,0.0018973442288049028,0.433,0.228,0.0029,0.098,0.064,0.118,0.353,67.2,3.2,5.06,52.6,2.8,5629,28471,2235,5628,5752,35634,43969,EL63,Δυτική Ελλάδα,38.25,21.73
253,2010,2016,6,336109,High-Value Added Products and Production Technologies focusing on Traditional Industries,Environmentally friendly products and processes - industrial biotechnology,Natural sciences,Research institution,Research Center,Partner,Attica,224829.5,224829.5,0.7570016835016835,,1.3,0.0,0.19,0.19,6.29,0.0,0.0,6.29,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,108739,83007,27199,21975,95933,72400,1823822.3,1713069.0,28413,47427,16137,24426,18664,29384,11176,17031,414397,342990,12,26,774.39,966.92,252.9,0.007121547926686837,0.011648656137434191,0.0033611675663745297,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
254,2010,2016,6,336684,High-Value Added Products and Production Technologies focusing on Traditional Industries,Environmentally friendly products and processes - industrial biotechnology,Natural sciences,Business,0,Partner,Central Greece,272991.82,136495.91,0.49634876363636365,,0.83,0.0,0.23,0.23,4.0,0.0,0.27,4.0,1.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,10025,8136,17881,14639,95933,72400,223844.1,214788.8,1096,1657,749,1030,519,820,331,510,48682,74962,1,1,38.47,42.41,76.0,0.0038374064837905235,0.005212635201573254,0.0028817955112219453,0.0033603736479842676,0.433,0.228,0.0029,0.098,0.064,0.118,0.353,67.2,3.2,5.06,5.7,0.5,243,786,114,238,1683,234,1801,EL64,Στερεά Ελλάδα,38.9,22.43
255,2010,2016,6,337025,High-Value Added Products and Production Technologies focusing on Traditional Industries,Environmentally friendly products and processes - industrial biotechnology,Natural sciences,Business,0,Partner,Central Makedonia,152384.66,76192.33,0.7619233,,1.04,0.0,0.13,0.13,5.04,0.0,0.0,5.04,1.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,30136,23801,17881,14639,26587,20760,769608.6,719161.3,11952,14915,6347,7624,8553,10699,4560,5958,191292,240711,5,4,193.33,201.44,106.4,0.0064152508627555085,0.008463509936557288,0.0015758561189275287,0.0015957312717953026,0.413,0.189,0.0029,0.107,0.109,0.107,0.388,26.08,1.8,3.97,59.9,2.0,12075,67918,5101,12613,13099,100700,116395,EL52,Κεντρική Μακεδονία,40.64,22.94
256,2010,2016,6,339428,Social and Economic Development Dimension,Human and Social Capital,Social Sciences,Research institution,Universities/Technological Education Institutes,Coordinator,Attica,159308.55,159308.55,0.9122947017592082,,1.73,0.0,0.76,0.76,4.33,0.0,0.0,4.33,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,108739,83007,27199,21975,95933,72400,1823822.3,1713069.0,28413,47427,16137,24426,18664,29384,11176,17031,414397,342990,12,26,774.39,966.92,252.9,0.007121547926686837,0.011648656137434191,0.0033611675663745297,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
257,2010,2016,6,339430,Social and Economic Development Dimension,Human and Social Capital,Social Sciences,Business,0,Partner,Western Greece,51076.33,51076.33,0.8120243243243244,,0.68,0.0,0.24,0.24,1.7,0.0,0.0,1.7,1.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,10524,7832,15217,11758,9284,6831,277212.3,252105.2,3980,7013,2133,2994,3290,4410,331,510,60765,96579,3,5,80.94,106.93,158.8,0.007690992018244014,0.013652962206332993,0.0011469023185100723,0.0018973442288049028,0.433,0.228,0.0029,0.098,0.064,0.118,0.353,67.2,3.2,5.06,52.6,2.8,5629,28471,2235,5628,5752,35634,43969,EL63,Δυτική Ελλάδα,38.25,21.73
258,2010,2016,6,339431,Social and Economic Development Dimension,Human and Social Capital,Social Sciences,Other Research institutions,0,Partner,Western Greece,7000.0,7000.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,10524,7832,15217,11758,9284,6831,277212.3,252105.2,3980,7013,2133,2994,3290,4410,331,510,60765,96579,3,5,80.94,106.93,158.8,0.007690992018244014,0.013652962206332993,0.0011469023185100723,0.0018973442288049028,0.433,0.228,0.0029,0.098,0.064,0.118,0.353,67.2,3.2,5.06,52.6,2.8,5629,28471,2235,5628,5752,35634,43969,EL63,Δυτική Ελλάδα,38.25,21.73
259,2010,2016,6,339435,Health,"Innovative diagnostic, imaging and therapeutic approaches, tools, provisions and methodologies",Medical Sciences,Research institution,Research Center,Coordinator,Crete,133881.71,133881.71,0.7650383428571428,,2.38,0.0,0.38,0.38,8.33,0.0,0.0,8.33,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,10863,8606,17377,13611,9584,7506,278695.3,266486.1,6180,6793,3671,4048,4168,3981,2489,2498,68528,129132,3,4,106.1,134.72,213.3,0.009767099327994107,0.015654194747850337,0.0005983614102918163,0.0010736695328840344,0.652,0.506,0.0035,0.107,0.094,0.075,0.482,55.3,2.7,7.5,51.9,2.8,6995,52469,4062,7210,7368,70590,78674,EL43,Κρήτη,35.24,24.81
260,2010,2016,6,339436,Health,"Innovative diagnostic, imaging and therapeutic approaches, tools, provisions and methodologies",Medical Sciences,Research institution,Universities/Technological Education Institutes,Partner,Crete,108286.91,108286.91,0.9844264545454546,,0.86,0.0,0.31,0.31,3.0,0.0,0.0,3.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,10863,8606,17377,13611,9584,7506,278695.3,266486.1,6180,6793,3671,4048,4168,3981,2489,2498,68528,129132,3,4,106.1,134.72,213.3,0.009767099327994107,0.015654194747850337,0.0005983614102918163,0.0010736695328840344,0.652,0.506,0.0035,0.107,0.094,0.075,0.482,55.3,2.7,7.5,51.9,2.8,6995,52469,4062,7210,7368,70590,78674,EL43,Κρήτη,35.24,24.81
261,2010,2016,6,339437,Health,"Innovative diagnostic, imaging and therapeutic approaches, tools, provisions and methodologies",Medical Sciences,Research institution,Research Center,Partner,Attica,106824.25,106824.25,0.9676109601449275,,0.98,0.0,0.31,0.31,3.44,0.0,0.0,3.44,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,108739,83007,27199,21975,95933,72400,1823822.3,1713069.0,28413,47427,16137,24426,18664,29384,11176,17031,414397,342990,12,26,774.39,966.92,252.9,0.007121547926686837,0.011648656137434191,0.0033611675663745297,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
262,2010,2016,6,339439,Health,"Innovative diagnostic, imaging and therapeutic approaches, tools, provisions and methodologies",Medical Sciences,Research institution,Research Center,Coordinator,Attica,362204.43,362204.43,0.8770083050847457,,0.17,0.0,0.45,0.45,0.68,0.0,0.0,0.68,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,108739,83007,27199,21975,95933,72400,1823822.3,1713069.0,28413,47427,16137,24426,18664,29384,11176,17031,414397,342990,12,26,774.39,966.92,252.9,0.007121547926686837,0.011648656137434191,0.0033611675663745297,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
263,2010,2016,6,339440,Health,"Innovative diagnostic, imaging and therapeutic approaches, tools, provisions and methodologies",Medical Sciences,Research institution,Universities/Technological Education Institutes,Partner,Attica,139199.69,139199.69,0.7635748217224355,,0.53,0.0,0.17,0.17,2.1,0.0,0.0,2.1,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,108739,83007,27199,21975,95933,72400,1823822.3,1713069.0,28413,47427,16137,24426,18664,29384,11176,17031,414397,342990,12,26,774.39,966.92,252.9,0.007121547926686837,0.011648656137434191,0.0033611675663745297,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
264,2010,2016,6,339441,Health,"Innovative diagnostic, imaging and therapeutic approaches, tools, provisions and methodologies",Medical Sciences,Research institution,Universities/Technological Education Institutes,Partner,Western Greece,159252.48,159252.48,0.9367792941176472,,0.35,0.0,0.2,0.2,1.41,0.0,0.0,1.41,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,10524,7832,15217,11758,9284,6831,277212.3,252105.2,3980,7013,2133,2994,3290,4410,331,510,60765,96579,3,5,80.94,106.93,158.8,0.007690992018244014,0.013652962206332993,0.0011469023185100723,0.0018973442288049028,0.433,0.228,0.0029,0.098,0.064,0.118,0.353,67.2,3.2,5.06,52.6,2.8,5629,28471,2235,5628,5752,35634,43969,EL63,Δυτική Ελλάδα,38.25,21.73
265,2010,2016,6,339443,Health,"Innovative diagnostic, imaging and therapeutic approaches, tools, provisions and methodologies",Medical Sciences,Business,0,Partner,Central Makedonia,150798.77000000002,61827.5,0.6854489545454546,,0.9,0.0,0.19,0.19,3.58,0.0,0.15,3.58,1.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,30136,23801,17881,14639,26587,20760,769608.6,719161.3,11952,14915,6347,7624,8553,10699,4560,5958,191292,240711,5,4,193.33,201.44,106.4,0.0064152508627555085,0.008463509936557288,0.0015758561189275287,0.0015957312717953026,0.413,0.189,0.0029,0.107,0.109,0.107,0.388,26.08,1.8,3.97,59.9,2.0,12075,67918,5101,12613,13099,100700,116395,EL52,Κεντρική Μακεδονία,40.64,22.94
266,2010,2016,6,339444,Health,"Innovative diagnostic, imaging and therapeutic approaches, tools, provisions and methodologies",Medical Sciences,Business,0,Partner,Attica,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,108739,83007,27199,21975,95933,72400,1823822.3,1713069.0,28413,47427,16137,24426,18664,29384,11176,17031,414397,342990,12,26,774.39,966.92,252.9,0.007121547926686837,0.011648656137434191,0.0033611675663745297,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
267,2010,2016,6,339449,"Agriculture-Fisheries-Livestock Farming-Food and 
Biotechnology",Food,Agricultural Sciences,Business,0,Coordinator,Western Greece,374451.06,253128.91,0.74890212,,3.39,0.0,0.57,0.57,11.87,0.0,0.37,11.87,1.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,10524,7832,15217,11758,9284,6831,277212.3,252105.2,3980,7013,2133,2994,3290,4410,331,510,60765,96579,3,5,80.94,106.93,158.8,0.007690992018244014,0.013652962206332993,0.0011469023185100723,0.0018973442288049028,0.433,0.228,0.0029,0.098,0.064,0.118,0.353,67.2,3.2,5.06,52.6,2.8,5629,28471,2235,5628,5752,35634,43969,EL63,Δυτική Ελλάδα,38.25,21.73
268,2015,2016,1,524593,"Agriculture-Fisheries-Livestock Farming-Food and 
Biotechnology",Food,Agricultural Sciences,Research institution,Universities/Technological Education Institutes,Unique Beneficiary,Crete,135192.39,135192.39,0.9012826,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,8826,8606,13972,13611,7798,7506,258196.1,266486.1,6793,6793,4048,4048,3981,3981,2498,2498,114482,129132,3,4,134.72,134.72,213.3,0.015263992748697032,0.015654194747850337,0.0010469068660774984,0.0010736695328840344,0.652,0.506,0.0035,0.107,0.094,0.075,0.482,55.3,2.7,7.5,51.9,2.8,6995,52469,4062,7210,7368,70590,78674,EL43,Κρήτη,35.24,24.81
269,2015,2016,1,524637,"Agriculture-Fisheries-Livestock Farming-Food and 
Biotechnology",Food,Agricultural Sciences,Research institution,Universities/Technological Education Institutes,Unique Beneficiary,Central Makedonia,147647.27,147647.27,0.9843151333333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,23817,23801,14416,14639,26587,20760,692543.6,719161.3,14915,14915,7624,7624,10699,10699,5958,5958,245144,240711,5,4,201.44,201.44,106.4,0.00845782424318764,0.008463509936557288,0.001594659276987026,0.0015957312717953026,0.413,0.189,0.0029,0.107,0.109,0.107,0.388,26.08,1.8,3.97,59.9,2.0,12075,67918,5101,12613,13099,100700,116395,EL52,Κεντρική Μακεδονία,40.64,22.94
270,2015,2016,1,524717,"Agriculture-Fisheries-Livestock Farming-Food and 
Biotechnology",Food,Agricultural Sciences,Research institution,Universities/Technological Education Institutes,Unique Beneficiary,Epirus,126335.91,126335.91,0.9154776086956522,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,4986,3892,11624,11583,3471,3395,126268.6,128013.6,3506,3506,1776,1776,2289,2289,1286,1286,45150,45596,2,3,47.53,47.53,140.1,0.009532691536301645,0.012212230215827338,0.0006979542719614922,0.000894141829393628,0.427,0.208,0.0022,0.059,0.013,0.044,0.31,99.2,4.4,7.83,51.9,3.3,4301,33670,2238,4248,4372,49238,46355,EL54,Ήπειρος,39.67,20.85
271,2010,2016,6,339454,Health,"Innovative diagnostic, imaging and therapeutic approaches, tools, provisions and methodologies",Medical Sciences,Research institution,Research Center,Coordinator,Attica,109994.78,109994.78,0.958590247711475,,1.18,0.0,0.22,0.22,3.25,0.0,0.0,3.25,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,108739,83007,27199,21975,95933,72400,1823822.3,1713069.0,28413,47427,16137,24426,18664,29384,11176,17031,414397,342990,12,26,774.39,966.92,252.9,0.007121547926686837,0.011648656137434191,0.0033611675663745297,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
272,2010,2016,6,339459,Health,"Innovative diagnostic, imaging and therapeutic approaches, tools, provisions and methodologies",Medical Sciences,Research institution,Research Center,Partner,Crete,60593.08,60593.08,0.8731902290671246,,0.79,0.0,0.12,0.12,2.17,0.0,0.0,2.17,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,10863,8606,17377,13611,9584,7506,278695.3,266486.1,6180,6793,3671,4048,4168,3981,2489,2498,68528,129132,3,4,106.1,134.72,213.3,0.009767099327994107,0.015654194747850337,0.0005983614102918163,0.0010736695328840344,0.652,0.506,0.0035,0.107,0.094,0.075,0.482,55.3,2.7,7.5,51.9,2.8,6995,52469,4062,7210,7368,70590,78674,EL43,Κρήτη,35.24,24.81
