a_a_project,project_start_year,project_end_year,project_duration_year,mis_code_nsrf_2007_20,rtdi_sector,rtdi_subsector,scientific_field,type_of_beneficiary,type_of_research_organization,role_of_beneficiary,region,final_projects_budget_at_the_end_of_the_project,final_public_expenditure_at_the_end,pct_absorption_rate_per_budget,pct_absorption_rate_per_public_expenditure,indicator_1_new_jobs_ipa,indicator_3_new_jobs_womens_ipa,indicator_4_number_of_rdti_projects,indicator_5_num_coop_company_research_instit,indicator_6_num_of_research_job_ipa,indicator_9_num_of_jobs_ipa_smes,indicator_10_induced_investments,indicator_501_jobs_dur_the_operat_ipa,indicator_3103_num_company_res_lab_busin_collab,indicator_3104_num_new_business_rtd,indicator_3106_num_company_benef,indicator_3107_num_smes_com_benef,indicator_3110_num_of_smes_benef,indicator_3111_num_spin_off_spin_outs,indicator_3112_num_of_joint_project_other_countries,indicator_3115_num_of_patent,indicator_3121_num_of_lab_supp,indicator_3204_num_of_business_will_be_supported,indicator_6913_num_res_part,indicator_8004_stud_research_evaluat,indicator_8009_num_events,gdp_region_start_year,gdp_region_end_year,gdp_region_per_person_start_year,gdp_region_per_person_end_year,gross_value_added_region_start_year,gross_value_added_region_end_year,employment_region_start_year,employment_region_end_year,employment_r_d_number_region_start_year,employment_r_d_number_region_end_year,employment_r_d_ipa_region_start_year,employment_r_d_ipa_region_end_year,researchers_number_region_start_year,researchers_numbers_region_end_year,researchers_ipa_region_start_year,researchers_ipa_region_end_year,number_of_business_region_start_year,number_of_business_region_end_year,educational_institution_per_region,research_center_per_region,r_d_exp_region_start_year,r_d_exp_region_end_year,r_d_per_inhabitant_region_2015,r_d_exp_int_region_start_year,r_d_exp_int_region_end_year,intensity_r_d_exp_start_year,intensity_r_d_exp_end_year,percent_innov_busi_region_2010_2012,percent_company_innov_prod_region_2010_2012,exp_innov_act_region_2012,rate_busin_region_newproducts,rate_turnover_innovative_products_region_2012,rate_busin_region_collaborations_with_any_organiz,rate_busin_region_innovating_or_marketing_2012_2014,numb_sc_pub_per_million_rd_region_2011,numb_sc_pub_per_ipa_region_2011,impact_index_of_publications_by_region_2010_2014,numb_sc_pub_per_million_rd_region_2010_2014,numb_sc_pub_per_ipa_region_2015,numb_sc_pub_per_region_2010_2014,numb_report_sc_pub_region_2010_2014,numb_inter_collab_per_region_2010_2014,numb_sc_pub_per_region_2012_2016,numb_sc_pub_per_region_2012_2016_1,numb_sc_pub_per_region_2012_2016_2,numb_sc_pub_per_region_2014_2016,nuts_id,region_el,lat,lon
11,2010,2016,6,310293,Energy,Clean coal technologies,Engineering Sciences,Research institution,Universities/Technological Education Institutes,Coordinator,Western Greece,82560.37,82555.61,0.742449370503597,,0.68,0.0,0.2,0.2,2.73,0.0,0.0,2.73,0.0,0,0,0,0,0,0.0,1.0,0,0,0,0,0,10524,7832,15217,11758,9284,6831,277212.3,252105.2,3980,7013,2133,2994,3290,4410,331,510,60765,96579,3,5,80.94,106.93,158.8,0.007690992018244014,0.013652962206332993,0.0011469023185100723,0.0018973442288049028,0.433,0.228,0.0029,0.098,0.064,0.118,0.353,67.2,3.2,5.06,52.6,2.8,5629,28471,2235,5628,5752,35634,43969,EL63,Δυτική Ελλάδα,38.25,21.73
12,2010,2016,6,310297,Energy,Clean coal technologies,Engineering Sciences,Research institution,Research Center,Partner,Central Makedonia,96675.37,96675.37,0.8885603860294117,,0.43,0.0,0.23,0.23,1.7,0.0,0.0,1.7,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,30136,23801,17881,14639,26587,20760,769608.6,719161.3,11952,14915,6347,7624,8553,10699,4560,5958,191292,240711,5,4,193.33,201.44,106.4,0.0064152508627555085,0.008463509936557288,0.0015758561189275287,0.0015957312717953026,0.413,0.189,0.0029,0.107,0.109,0.107,0.388,26.08,1.8,3.97,59.9,2.0,12075,67918,5101,12613,13099,100700,116395,EL52,Κεντρική Μακεδονία,40.64,22.94
13,2010,2016,6,310299,Energy,Clean coal technologies,Engineering Sciences,Research institution,Universities/Technological Education Institutes,Partner,Thessaly,92771.92,92771.92,0.9095286274509804,,0.92,0.0,0.22,0.22,3.69,0.0,0.0,3.69,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,10765,8843,14404,12152,10564,7713,304954.5,286686.7,5499,3714,2165,1953,2392,2473,1070,1467,72417,112596,2,4,42.41,59.91,81.7,0.003939619136089177,0.006774850163971503,0.0001040408732001858,0.0002827094877304082,0.495,0.331,0.0021,0.079,0.047,0.179,0.438,54.8,2.6,4.58,53.5,2.2,3205,14665,1238,3358,3525,19012,22469,EL61,Θεσσαλία,39.64,22.42
14,2010,2016,6,310301,Energy,Clean coal technologies,Engineering Sciences,Business,0,Partner,Western Greece,70072.74,39612.11,0.4325477777777778,,0.42,0.0,0.14,0.14,1.68,0.0,0.06,1.68,1.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,10524,7832,15217,11758,9284,6831,277212.3,252105.2,3980,7013,2133,2994,3290,4410,331,510,60765,96579,3,5,80.94,106.93,158.8,0.007690992018244014,0.013652962206332993,0.0011469023185100723,0.0018973442288049028,0.433,0.228,0.0029,0.098,0.064,0.118,0.353,67.2,3.2,5.06,52.6,2.8,5629,28471,2235,5628,5752,35634,43969,EL63,Δυτική Ελλάδα,38.25,21.73
15,2010,2016,6,310303,"Agriculture-Fisheries-Livestock Farming-Food and 
Biotechnology","Exploitation of biotechnology for the sustainable production and management of natural, marine and livestock",Engineering Sciences,Research institution,Universities/Technological Education Institutes,Partner,Crete,258221.6,258221.6,0.99316,,1.87,0.0,0.41,0.41,7.46,0.0,0.0,7.46,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,10863,8606,17377,13611,9584,7506,278695.3,266486.1,6180,6793,3671,4048,4168,3981,2489,2498,68528,129132,3,4,106.1,134.72,213.3,0.009767099327994107,0.015654194747850337,0.0005983614102918163,0.0010736695328840344,0.652,0.506,0.0035,0.107,0.094,0.075,0.482,55.3,2.7,7.5,51.9,2.8,6995,52469,4062,7210,7368,70590,78674,EL43,Κρήτη,35.24,24.81
16,2010,2016,6,310304,Energy,Clean coal technologies,Engineering Sciences,Business,0,Partner,Western Macedonia,88049.76000000001,50883.29,0.6670436363636364,,0.6,0.0,0.21,0.21,2.42,0.0,0.0,0.09,1.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,5094,4313,17799,15817,4494,3761,103255.6,97753.7,1535,1390,639,760,640,701,261,418,28283,39589,2,1,15.37,20.04,77.6,0.003017275225755791,0.004646417806631115,0.0001354534746760895,0.0004938557848365407,0.413,0.189,0.0029,0.107,0.109,0.107,0.388,26.8,1.8,3.97,31.3,1.5,627,2490,298,629,568,5442,5468,EL53,Δυτική Μακεδονία,40.3,21.79
17,2010,2016,6,310376,Energy,Use of RES for heating and cooling,Engineering Sciences,Research institution,Research Center,Coordinator,Attica,113987.81,113987.81,0.9164996422053018,,0.77,0.0,0.41,0.41,2.69,0.0,0.0,2.69,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,108739,83007,27199,21975,95933,72400,1823822.3,1713069.0,28413,47427,16137,24426,18664,29384,11176,17031,414397,342990,12,26,774.39,966.92,252.9,0.007121547926686837,0.011648656137434191,0.0033611675663745297,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
18,2010,2016,6,310410,Energy,Use of RES for heating and cooling,Engineering Sciences,Business,0,Partner,Central Greece,30728.43,18437.06,0.07268235973101658,,0.09,0.0,0.11,0.11,0.33,0.0,0.03,0.33,1.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,10025,8136,17881,14639,95933,72400,223844.1,214788.8,1096,1657,749,1030,519,820,331,510,48682,74962,1,1,38.47,42.41,76.0,0.0038374064837905235,0.005212635201573254,0.0028817955112219453,0.0033603736479842676,0.433,0.228,0.0029,0.098,0.064,0.118,0.353,67.2,3.2,5.06,5.7,0.5,243,786,114,238,1683,234,1801,EL64,Στερεά Ελλάδα,38.9,22.43
19,2010,2016,6,310411,"Agriculture-Fisheries-Livestock Farming-Food and 
Biotechnology","Exploitation of biotechnology for the sustainable production and management of natural, marine and livestock",Engineering Sciences,Business,0,Partner,Western Greece,199270.84,35070.73,0.9944394069219717,,0.65,0.0,0.32,0.32,2.59,0.0,0.2,2.59,1.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,10524,7832,15217,11758,9284,6831,277212.3,252105.2,3980,7013,2133,2994,3290,4410,331,510,60765,96579,3,5,80.94,106.93,158.8,0.007690992018244014,0.013652962206332993,0.0011469023185100723,0.0018973442288049028,0.433,0.228,0.0029,0.098,0.064,0.118,0.353,67.2,3.2,5.06,52.6,2.8,5629,28471,2235,5628,5752,35634,43969,EL63,Δυτική Ελλάδα,38.25,21.73
20,2010,2016,6,310870,Energy,Use of RES for heating and cooling,Engineering Sciences,Research institution,Universities/Technological Education Institutes,Partner,Central Greece,132627.76,132627.76,0.639851408005635,,0.44,0.0,0.48,0.48,1.54,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,10025,8136,17881,14639,95933,72400,223844.1,214788.8,1096,1657,749,1030,519,820,331,510,48682,74962,1,1,38.47,42.41,76.0,0.0038374064837905235,0.005212635201573254,0.0028817955112219453,0.0033603736479842676,0.433,0.228,0.0029,0.098,0.064,0.118,0.353,67.2,3.2,5.06,5.7,0.5,243,786,114,238,1683,234,1801,EL64,Στερεά Ελλάδα,38.9,22.43
